task,model,f1_macro,f1_macro_std,accuracy,n,cv_folds,class_counts
region,rf,1.0,0.0,1.0,366,5,"{'eu': 294, 'out': 72}"
sector,linear_svc,0.9306783810123159,0.03139223410217146,0.9454276194002222,366,5,"{'agri': 258, 'mining': 108}"
code:barriers:water,linear_svc,0.801365653707774,0.03939214203929289,0.8771195853387634,366,5,"{'no': 278, 'yes': 88}"
code:barriers:land,logreg,0.8004697577792012,0.04626399915569472,0.8579785264716773,366,5,"{'no': 270, 'yes': 96}"
code:barriers:data,rf,0.7288432671891053,0.033415220584793424,0.8005553498704184,366,5,"{'no': 244, 'yes': 122}"
code:drivers:demand,logreg,0.7261161303014594,0.09812606255313353,0.9235468345057386,366,5,"{'no': 325, 'yes': 41}"
code:stakeholders:farmers,logreg,0.6619771292940296,0.15430269565560442,0.9399481673454277,366,5,"{'no': 338, 'yes': 28}"
code:drivers:technology,logreg,0.6436268675885097,0.09206698746563499,0.9480562754535355,366,5,"{'no': 342, 'yes': 24}"
code:barriers:database,logreg,0.6073036163716414,0.10050596402407286,0.950870048130322,366,5,"{'no': 345, 'yes': 21}"
relevance,rf,0.5656502735924316,0.03725422792987872,0.6733333333333333,101,5,"{'high': 63, 'medium_low': 38}"
code:drivers:efficiency,logreg,0.5577598288236586,0.09309264114746015,0.939911144020733,366,5,"{'no': 342, 'yes': 24}"
code:barriers:landscape,linear_svc,0.552706268446324,0.10406942500494165,0.9153276564235467,366,5,"{'no': 333, 'yes': 33}"
code:barriers:landscapes,logreg,0.5380820666031934,0.10244698661489873,0.9535727508330247,366,5,"{'no': 348, 'yes': 18}"
code:barriers:transport,logreg,0.5288008563540478,0.08029121785668533,0.9563124768604221,366,5,"{'no': 349, 'yes': 17}"
code:barriers:storage,logreg,0.48953942609115025,5.787316132142006e-05,0.9590151795631247,366,5,"{'no': 351, 'yes': 15}"
code:stakeholders:policymakers,linear_svc,0.482319099340376,9.919158855329347e-05,0.9316919659385412,366,5,"{'no': 341, 'yes': 25}"
